Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,SE_A12004_001,SE_A12004_002,SE_A12004_003,SE_B14001_001,SE_B14001_002,SE_B14001_003,SE_B14001_004,SE_B14001_005,SE_B14001_006,SE_A14006_001,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007
1001,05000US01001,Autauga County,"Autauga County, Alabama",al,53261,13435,39826,21115,4859,4178,3819,2967,5292,58786,54765,3364,2449,2609,4685,4136,37522
1003,05000US01003,Baldwin County,"Baldwin County, Alabama",al,201949,45076,156873,78622,15521,19215,15144,9691,19051,55962,204929,9186,5694,6773,16239,19951,147086
1005,05000US01005,Barbour County,"Barbour County, Alabama",al,24954,5216,19738,9186,3564,2413,1317,806,1086,34186,22856,2914,1780,1903,2701,2775,10783
1007,05000US01007,Bibb County,"Bibb County, Alabama",al,21795,4424,17371,6840,1879,1790,1141,1000,1030,45340,20468,1207,493,1163,2482,2623,12500
1009,05000US01009,Blount County,"Blount County, Alabama",al,55869,12220,43649,20600,5231,5294,4297,2461,3317,48695,57082,4173,2178,1869,6305,6270,36287
1011,05000US01011,Bullock County,"Bullock County, Alabama",al,10011,2247,7764,3609,1535,784,624,211,455,32152,9909,1750,536,824,916,741,5142
1013,05000US01013,Butler County,"Butler County, Alabama",al,19397,4147,15250,6708,2279,1875,1013,723,818,39109,19707,1511,1421,1708,2849,1984,10234
1015,05000US01015,Calhoun County,"Calhoun County, Alabama",al,111292,27368,83924,45033,12832,11344,8526,5037,7294,45197,111981,8264,6062,6493,12864,12758,65540
1017,05000US01017,Chambers County,"Chambers County, Alabama",al,32659,7323,25336,13516,4473,3684,2243,1535,1581,39872,33274,2213,1483,1835,4885,4570,18288
1019,05000US01019,Cherokee County,"Cherokee County, Alabama",al,24960,5157,19803,10606,3249,2852,1941,1183,1381,41014,25501,1425,1373,1029,3494,3472,14708
1021,05000US01021,Chilton County,"Chilton County, Alabama",al,42265,9862,32403,16751,4672,4420,3104,1862,2693,45182,43260,3276,1524,3234,5681,4338,25207
1023,05000US01023,Choctaw County,"Choctaw County, Alabama",al,12674,2585,10089,5350,2042,1264,728,518,798,34884,12875,1141,1082,641,1505,1663,6843
1025,05000US01025,Clarke County,"Clarke County, Alabama",al,23689,5003,18686,9358,3580,2287,1321,815,1355,36127,23963,3255,1727,1106,2681,2089,13105
1027,05000US01027,Clay County,"Clay County, Alabama",al,13014,2962,10052,5236,1476,1658,874,450,778,41225,13040,766,850,789,1598,1790,7247
1029,05000US01029,Cleburne County,"Cleburne County, Alabama",al,14526,3325,11201,5726,1904,1445,1108,463,806,40188,14659,697,1014,1008,1418,2019,8503
