"fips","interval15min_num","name","state","interval15min","tot_exp_vote","total.votes","trumpd","bidenj","abs_trumpd","abs_bidenj","lag_total_votes","lag_bidenj","lag_trumpd","total_vote_chg","biden_chg","trump_chg","prop_expect_returned","dem_pct","dem2party_pct"
"01001",2042,"AUTAUGA","ALABAMA","2020-11-24 13:11:00",27770,27770,19838,7503,0,0,27770,7503,19838,0,0,0,100,27.0183651422398,27.4423027687356
"01003",2042,"BALDWIN","ALABAMA","2020-11-24 13:11:00",109679,109679,83544,24578,0,0,109679,24578,83544,0,0,0,100,22.409029987509,22.731728972827
"01005",2042,"BARBOUR","ALABAMA","2020-11-24 13:11:00",10518,10518,5622,4816,0,0,10518,4816,5622,0,0,0,100,45.7881726563986,46.1391071086415
"01007",2042,"BIBB","ALABAMA","2020-11-24 13:11:00",9595,9595,7525,1986,352,215,9595,1986,7525,0,0,0,100,20.6982803543512,20.8810850594049
"01009",2042,"BLOUNT","ALABAMA","2020-11-24 13:11:00",27588,27588,24711,2640,0,0,27588,2640,24711,0,0,0,100,9.56937799043062,9.65229790501261
"01011",2042,"BULLOCK","ALABAMA","2020-11-24 13:11:00",4613,4613,1146,3446,0,0,4613,3446,1146,0,0,0,100,74.7019293301539,75.0435540069686
"01013",2042,"BUTLER","ALABAMA","2020-11-24 13:11:00",9488,9488,5458,3965,429,616,9488,3965,5458,0,0,0,100,41.789629005059,42.0778945134246
"01015",2042,"CALHOUN","ALABAMA","2020-11-24 13:11:00",50983,50983,35101,15216,0,0,50983,15216,35101,0,0,0,100,29.8452425318243,30.240276646064
"01017",2042,"CHAMBERS","ALABAMA","2020-11-24 13:11:00",15284,15284,8753,6365,0,0,15284,6365,8753,0,0,0,100,41.6448573671814,42.1021299113639
"01019",2042,"CHEROKEE","ALABAMA","2020-11-24 13:11:00",12301,12301,10583,1624,0,0,12301,1624,10583,0,0,0,100,13.2021786846598,13.3038420578357
"01021",2042,"CHILTON","ALABAMA","2020-11-24 13:11:00",19310,19310,16085,3073,0,0,19310,3073,16085,0,0,0,100,15.9140341791818,16.0402964818875
"01023",2042,"CHOCTAW","ALABAMA","2020-11-24 13:11:00",7464,7464,4296,3127,0,0,7464,3127,4296,0,0,0,100,41.8944265809218,42.1258251380843
"01025",2042,"CLARKE","ALABAMA","2020-11-24 13:11:00",13135,13135,7324,5755,0,0,13135,5755,7324,0,0,0,100,43.8142367719833,44.001835002676
"01027",2042,"CLAY","ALABAMA","2020-11-24 13:11:00",6930,6930,5601,1267,376,177,6930,1267,5601,0,0,0,100,18.2828282828283,18.4478741991846
"01029",2042,"CLEBURNE","ALABAMA","2020-11-24 13:11:00",7227,7227,6484,675,0,0,7227,675,6484,0,0,0,100,9.33997509339975,9.42869115798296
"01031",2042,"COFFEE","ALABAMA","2020-11-24 13:11:00",22275,22275,16899,5076,0,0,22275,5076,16899,0,0,0,100,22.7878787878788,23.098976109215
"01033",2042,"COLBERT","ALABAMA","2020-11-24 13:11:00",27886,27886,19203,8343,614,875,27886,8343,19203,0,0,0,100,29.9182385426379,30.2875190590285
