time,state,rep,dem,total,percent reported,rep.pct,rep.diff,dem.diff,total.diff,state_cumulative
11/3/2020 6:56,alabama,0,0,0,0%,NA,0,0,0,0
11/4/2020 1:42,alabama,4273,4892,9234,1%,0.462746372,4273,4892,9234,0.003997576
11/4/2020 2:04,alabama,30370,30685,61798,2%,0.491439852,26097,25793,52564,0.026753539
11/4/2020 2:10,alabama,48478,46894,96685,3%,0.501401458,18108,16209,34887,0.04185679
11/4/2020 2:16,alabama,62104,51734,115261,5%,0.538811914,13626,4840,18576,0.049898697
11/4/2020 2:35,alabama,191168,121297,316226,14%,0.604529672,129064,69563,200965,0.136900299
11/4/2020 2:35,alabama,199667,147595,351230,15%,0.568479344,8499,26298,35004,0.152054201
11/4/2020 2:52,alabama,286259,188509,480531,22%,0.595713908,86592,40914,129301,0.208031084
11/4/2020 3:09,alabama,405587,247897,661443,30%,0.613185112,119328,59388,180912,0.286351357
11/4/2020 3:09,alabama,436156,298477,743828,32%,0.586366741,30569,50580,82385,0.322017403
11/4/2020 3:20,alabama,552253,342176,905303,40%,0.610020071,116097,43699,161475,0.391923027
11/4/2020 3:21,alabama,568954,346123,926122,42%,0.614340227,16701,3947,20819,0.400935971
11/4/2020 3:30,alabama,656124,384831,1053693,47%,0.622689911,87170,38708,127571,0.456163903
11/4/2020 3:34,alabama,701225,404037,1118645,50%,0.626852129,45101,19206,64952,0.484282869
11/4/2020 3:48,alabama,800854,474650,1291940,59%,0.619884824,99629,70613,173295,0.559305598
11/4/2020 4:04,alabama,1035886,552112,1608907,70%,0.643844548,235032,77462,316967,0.696526689
11/4/2020 4:15,alabama,1059358,560782,1641573,71%,0.645331033,23472,8670,32666,0.710668427
11/4/2020 4:17,alabama,1077357,563505,1662540,73%,0.648018694,17999,2723,20967,0.719745444
11/4/2020 4:18,alabama,1079256,564332,1665303,73%,0.648083862,1899,827,2763,0.720941599
11/4/2020 4:27,alabama,1082148,565069,1669292,73%,0.648267649,2892,737,3989,0.722668514
11/4/2020 4:33,alabama,1109798,581381,1713773,74%,0.647575846,27650,16312,44481,0.741925192
11/4/2020 4:47,alabama,1167531,609692,1801704,76%,0.648014879,57733,28311,87931,0.779992207
11/4/2020 5:06,alabama,1255056,679995,1962099,81%,0.639649681,87525,70303,160395,0.849430278
11/4/2020 5:40,alabama,1275772,693898,1997169,82%,0.638790208,20716,13903,35070,0.864612754
11/4/2020 5:52,alabama,1280203,694301,2002041,83%,0.639448942,4431,403,4872,0.866721936
11/4/2020 6:39,alabama,1360606,755559,2145118,91%,0.634280259,80403,61258,143077,0.928662713
11/4/2020 8:02,alabama,1409055,790711,2230255,92%,0.631790984,48449,35152,85137,0.965520152
11/4/2020 12:51,alabama,1417679,830869,2279481,98%,0.621930606,8624,40158,49226,0.986831032
11/4/2020 15:46,alabama,1428797,833763,2294523,98%,0.622698923,11118,2894,15042,0.993343002
11/4/2020 16:45,alabama,1430540,834968,2297624,98%,0.622617104,1743,1205,3101,0.994685484
11/6/2020 17:40,alabama,1434159,843473,2309900,98%,0.62087493,3619,8505,12276,1
11/3/2020 6:56,alaska,0,0,0,0%,NA,0,0,0,0
11/4/2020 7:47,alaska,68831,39996,113744,46%,0.605139612,68831,39996,113744,0.858607284
11/4/2020 8:57,alaska,80999,45758,132475,46%,0.611428571,12168,5762,18731,1
11/3/2020 6:56,arizona,0,0,0,0%,NA,0,0,0,0
11/4/2020 3:08,arizona,979292,1226588,2234553,65%,0.438249619,979292,1226588,2234553,0.678097911
11/4/2020 3:18,arizona,1049437,1266102,2346888,51%,0.447161092,70145,39514,112335,0.712187114
11/4/2020 3:31,arizona,1077737,1286532,2396411,54%,0.449729616,28300,20430,49523,0.727215373
11/4/2020 3:34,arizona,1078103,1286749,2397005,54%,0.44977086,366,217,594,0.727395629
11/4/2020 3:37,arizona,1078330,1286777,2397263,54%,0.449817146,227,28,258,0.727473921
11/4/2020 4:03,arizona,1080456,1288281,2400954,55%,0.450011121,2126,1504,3691,0.728593993
11/4/2020 4:07,arizona,1083085,1289172,2404551,59%,0.450431286,2629,891,3597,0.729685539
11/4/2020 4:26,arizona,1087375,1290391,2410178,60%,0.451159624,4290,1219,5627,0.73139311
11/4/2020 4:39,arizona,1090037,1297831,2420394,61%,0.45035519,2662,7440,10216,0.734493259
11/4/2020 6:01,arizona,1146792,1322275,2502286,78%,0.458297733,56755,24444,81892,0.759344222
11/4/2020 6:07,arizona,1168326,1331709,2533873,79%,0.461083093,21534,9434,31587,0.76892962
11/4/2020 6:43,arizona,1180511,1336277,2550854,80%,0.462790501,12185,4568,16981,0.774082678
11/4/2020 7:39,arizona,1236546,1367211,2639559,83%,0.468466892,56035,30934,88705,0.801001115
11/4/2020 10:08,arizona,1317468,1410977,2766463,98%,0.47622831,80922,43766,126904,0.839511429
11/4/2020 14:22,arizona,1317568,1411086,2766673,86%,0.476228307,100,109,210,0.839575156
