Town,County,Population
Brunswick,Cumberland,"20,495"
Scarborough,Cumberland,"19,691"
Windham,Cumberland,"17,816"
Gorham,Cumberland,"17,181"
York,York,"12,862"
Falmouth,Cumberland,"11,988"
Kennebunk,York,"11,209"
Orono,Penobscot,"10,700"
Standish,Cumberland,"10,139"
Wells,York,"10,073"
Kittery,York,"9,653"
Cape Elizabeth,Cumberland,"9,304"
Lisbon,Androscoggin,"8,853"
Old Orchard Beach,York,"8,776"
Topsham,Sagadahoc,"8,751"
Yarmouth,Cumberland,"8,543"
Skowhegan,Somerset,"8,478"
Freeport,Cumberland,"8,316"
Buxton,York,"8,149"
Gray,Cumberland,"8,044"
Waterboro,York,"7,774"
Cumberland,Cumberland,"7,714"
Winslow,Kennebec,"7,551"
Berwick,York,"7,514"
Farmington,Franklin,"7,456"
South Berwick,York,"7,415"
Hampden,Penobscot,"7,388"
Fairfield,Somerset,"6,542"
Eliot,York,"6,335"
Oakland,Kennebec,"6,138"
Lebanon,York,"6,120"
Winthrop,Kennebec,"5,921"
Houlton,Aroostook,"5,882"
Hermon,Penobscot,"5,799"
Turner,Androscoggin,"5,748"
New Gloucester,Cumberland,"5,679"
Rumford,Oxford,"5,676"
Poland,Androscoggin,"5,523"
Bridgton,Cumberland,"5,372"
Bar Harbor,Hancock,"5,321"
Paris,Oxford,"5,100"
Lincoln,Penobscot,"5,031"
Sabattus,Androscoggin,"5,011"
Waldoboro,Lincoln,"4,972"
Norway,Oxford,"4,927"
Bucksport,Hancock,"4,926"
Harpswell,Cumberland,"4,872"
Camden,Knox,"4,860"
Jay,Franklin,"4,766"
Warren,Knox,"4,704"
Madison,Somerset,"4,680"
North Berwick,York,"4,656"
Glenburn,Penobscot,"4,590"
Raymond,Cumberland,"4,526"
Hollis,York,"4,454"
Lyman,York,"4,384"
Millinocket,Penobscot,"4,359"
Greene,Androscoggin,"4,356"
Vassalboro,Kennebec,"4,247"
China,Kennebec,"4,227"
Sidney,Kennebec,"4,216"
Arundel,York,"4,167"
Pittsfield,Somerset,"4,077"
Oxford,Oxford,"4,046"
Dover-Foxcroft,Piscataquis,"4,038"
Monmouth,Kennebec,"4,025"
Naples,Cumberland,"3,976"
Fort Kent,Aroostook,"3,965"
Wilton,Franklin,"3,952"
Durham,Androscoggin,"3,920"
Casco,Cumberland,"3,880"
Madawaska,Aroostook,"3,839"
Winterport,Waldo,"3,811"
Dexter,Penobscot,"3,794"
Limington,York,"3,752"
North Yarmouth,Cumberland,"3,740"
Orrington,Penobscot,"3,692"
Wiscasset,Lincoln,"3,652"
Kennebunkport,York,"3,567"
Litchfield,Kennebec,"3,567"
Richmond,Sagadahoc,"3,396"
Fryeburg,Oxford,"3,395"
Rockport,Knox,"3,381"
West Gardiner,Kennebec,"3,365"
Fort Fairfield,Aroostook,"3,356"
Norridgewock,Somerset,"3,324"
Clinton,Kennebec,"3,322"
Newport,Penobscot,"3,232"
Livermore Falls,Androscoggin,"3,129"
Belgrade,Kennebec,"3,115"
Bowdoin,Sagadahoc,"3,108"
Holden,Penobscot,"3,077"
Boothbay,Lincoln,"3,074"
