"fips","interval15min_num","name","state","interval15min","tot_exp_vote","total.votes","trumpd","bidenj","abs_trumpd","abs_bidenj","polls_close","polls_close_num","hours_from_close","lag_total_votes","lag_bidenj","lag_trumpd","lag_trump_abs","lag_biden_abs","total_vote_chg","biden_chg","trump_chg","biden_abs_Chg","trump_abs_chg","prop_expect_returned","dem_pct","dem2party_pct","dem2party_abs_pct","prop_abs_ballots","final_vote","returned_pct","lag_vote_chg","tabulate_acceleration","tabulate_acceleration_prop","gini_votes","time_num","chr_time","chr_time2","dem_majority","lead","last_dem2party_pct","last_lead","hours_from_close2"
"01001",2958,"AUTAUGA","ALABAMA","2020-12-04 20:57:00",27770,27770,19838,7503,0,0,"2020-11-03 20:00:00",1604451600,745.146111111111,27770,7503,19838,0,0,0,0,0,0,0,100,27.0183651422398,27.4423027687356,NA,0,27770,100,0,0,0,4.4025179125169e-17,1607133420,2020-12-04 20:57:00,"Dec-04 20:57",0,"Trump",27.4423027687356,"Trump",745.708611111111
"01003",2958,"BALDWIN","ALABAMA","2020-12-04 20:57:00",109679,109679,83544,24578,0,0,"2020-11-03 20:00:00",1604451600,745.146111111111,109679,24578,83544,0,0,0,0,0,0,0,100,22.409029987509,22.731728972827,NA,0,109679,100,0,0,0,4.4025179125169e-17,1607133420,2020-12-04 20:57:00,"Dec-04 20:57",0,"Trump",22.731728972827,"Trump",745.708611111111
"01005",2958,"BARBOUR","ALABAMA","2020-12-04 20:57:00",10518,10518,5622,4816,0,0,"2020-11-03 20:00:00",1604451600,745.146111111111,10518,4816,5622,0,0,0,0,0,0,0,100,45.7881726563986,46.1391071086415,NA,0,10518,100,0,0,0,4.4025179125169e-17,1607133420,2020-12-04 20:57:00,"Dec-04 20:57",0,"Trump",46.1391071086415,"Trump",745.680555555556
"01007",2958,"BIBB","ALABAMA","2020-12-04 20:57:00",9595,9595,7525,1986,352,215,"2020-11-03 20:00:00",1604451600,745.146111111111,9595,1986,7525,352,215,0,0,0,0,0,100,20.6982803543512,20.8810850594049,37.9188712522046,5.96151824203554,9595,100,0,0,0,4.4025179125169e-17,1607133420,2020-12-04 20:57:00,"Dec-04 20:57",0,"Trump",20.8810850594049,"Trump",745.203611111111
"01009",2958,"BLOUNT","ALABAMA","2020-12-04 20:57:00",27588,27588,24711,2640,0,0,"2020-11-03 20:00:00",1604451600,745.146111111111,27588,2640,24711,0,0,0,0,0,0,0,100,9.56937799043062,9.65229790501261,NA,0,27588,100,0,0,0,4.4025179125169e-17,1607133420,2020-12-04 20:57:00,"Dec-04 20:57",0,"Trump",9.65229790501261,"Trump",745.680555555556
"01011",2958,"BULLOCK","ALABAMA","2020-12-04 20:57:00",4613,4613,1146,3446,0,0,"2020-11-03 20:00:00",1604451600,745.146111111111,4613,3446,1146,0,0,0,0,0,0,0,100,74.7019293301539,75.0435540069686,NA,0,4613,100,0,0,0,4.4025179125169e-17,1607133420,2020-12-04 20:57:00,"Dec-04 20:57",1,"Biden",75.0435540069686,"Biden",745.708611111111
"01013",2958,"BUTLER","ALABAMA","2020-12-04 20:57:00",9488,9488,5458,3965,429,616,"2020-11-03 20:00:00",1604451600,745.146111111111,9488,3965,5458,429,616,0,0,0,0,0,100,41.789629005059,42.0778945134246,58.9473684210526,11.0898864480526,9488,100,0,0,0,4.4025179125169e-17,1607133420,2020-12-04 20:57:00,"Dec-04 20:57",0,"Trump",42.0778945134246,"Trump",745.203611111111
"01015",2958,"CALHOUN","ALABAMA","2020-12-04 20:57:00",50983,50983,35101,15216,0,0,"2020-11-03 20:00:00",1604451600,745.146111111111,50983,15216,35101,0,0,0,0,0,0,0,100,29.8452425318243,30.240276646064,NA,0,50983,100,0,0,0,4.4025179125169e-17,1607133420,2020-12-04 20:57:00,"Dec-04 20:57",0,"Trump",30.240276646064,"Trump",745.708611111111
"01017",2958,"CHAMBERS","ALABAMA","2020-12-04 20:57:00",15284,15284,8753,6365,0,0,"2020-11-03 20:00:00",1604451600,745.146111111111,15284,6365,8753,0,0,0,0,0,0,0,100,41.6448573671814,42.1021299113639,NA,0,15284,100,0,0,0,4.4025179125169e-17,1607133420,2020-12-04 20:57:00,"Dec-04 20:57",0,"Trump",42.1021299113639,"Trump",745.708611111111
"01019",2958,"CHEROKEE","ALABAMA","2020-12-04 20:57:00",12301,12301,10583,1624,0,0,"2020-11-03 20:00:00",1604451600,745.146111111111,12301,1624,10583,0,0,0,0,0,0,0,100,13.2021786846598,13.3038420578357,NA,0,12301,100,0,0,0,4.4025179125169e-17,1607133420,2020-12-04 20:57:00,"Dec-04 20:57",0,"Trump",13.3038420578357,"Trump",745.708611111111
